averageCqiDl:vector,servingRSRP:vector,servingRSRQ:vector,servingSINR:vector
11.0,-65.918371029831,-88.136858526,31.581628970169
11.0,-62.967599814732,-85.1860873109,34.532400185268
11.0,-65.958993115489,-88.177480611657,31.541006884511
11.0,-65.958993115489,-88.177480611657,31.541006884511
11.0,-65.958993115489,-88.177480611657,31.541006884511
11.0,-65.958993115489,-88.177480611657,31.541006884511
11.0,-59.791476672653,-82.009964168822,37.708523327347
11.0,-66.000398834051,-88.218886330219,31.499601165949
11.0,-66.000398834051,-88.218886330219,31.499601165949
11.0,-66.000398834051,-88.218886330219,31.499601165949
11.0,-66.000398834051,-88.218886330219,31.499601165949
11.0,-65.156003641806,-87.374491137974,32.343996358194
11.0,-66.042574391326,-88.261061887494,31.457425608674
11.0,-66.042574391326,-88.261061887494,31.457425608674
11.0,-66.042574391326,-88.261061887494,31.457425608674
11.0,-66.042574391326,-88.261061887494,31.457425608674
11.0,-66.770389720702,-88.98887721687,30.729610279298
11.0,-66.085505918762,-88.30399341493,31.414494081238
11.0,-66.085505918762,-88.30399341493,31.414494081238
11.0,-66.085505918762,-88.30399341493,31.414494081238
11.0,-66.085505918762,-88.30399341493,31.414494081238
11.0,-65.990843473183,-88.209330969352,31.509156526817
11.0,-66.129179485743,-88.347666981911,31.370820514257
11.0,-66.129179485743,-88.347666981911,31.370820514257
11.0,-66.129179485743,-88.347666981911,31.370820514257
11.0,-66.129179485743,-88.347666981911,31.370820514257
11.0,-66.129179485743,-88.347666981911,31.370820514257
11.0,-59.593358205823,-81.811845701991,37.906641794177
11.0,-66.173581111633,-88.392068607801,31.326418888367
11.0,-66.173581111633,-88.392068607801,31.326418888367
11.0,-66.173581111633,-88.392068607801,31.326418888367
11.0,-66.173581111633,-88.392068607801,31.326418888367
11.0,-61.897766534161,-84.116254030329,35.602233465839
11.0,-66.218696777542,-88.437184273711,31.281303222458
11.0,-66.218696777542,-88.437184273711,31.281303222458
11.0,-66.218696777542,-88.437184273711,31.281303222458
11.0,-66.218696777542,-88.437184273711,31.281303222458
11.0,-65.481495694403,-87.699983190571,32.018504305597
11.0,-66.264512437816,-88.482999933984,31.235487562184
11.0,-66.264512437816,-88.482999933984,31.235487562184
11.0,-66.264512437816,-88.482999933984,31.235487562184
11.0,-66.264512437816,-88.482999933984,31.235487562184
13.0,-59.718839581367,-81.937327077535,37.781160418633
13.0,-59.718839581367,-81.937327077535,37.781160418633
13.0,-59.718839581367,-81.937327077535,37.781160418633
13.0,-59.718839581367,-81.937327077535,37.781160418633
13.0,-59.718839581367,-81.937327077535,37.781160418633
